0,train,20.510975677401866,0.5724966054280433
0,val,1.424740017514058,0.9025566106647188
1,train,6.340775608051074,0.843718814926301
1,val,1.2616859626909345,0.9107377647918189
2,train,5.443407622991716,0.8582132281970324
2,val,1.2317748673733697,0.9126369612856099
3,train,5.032052731169573,0.8663111227444501
3,val,1.2144546285173683,0.914536157779401
4,train,4.732705907066386,0.873394735550575
4,val,1.2071559584863523,0.9149744338933529
5,train,4.488452729775221,0.8790714414252294
5,val,1.1955593373150264,0.9193571950328707
6,train,4.153938096362987,0.8865803981873803
6,val,1.1940834771289366,0.91672753834916
7,train,3.8527021487492807,0.8937458079081257
7,val,1.187774745141441,0.9161431701972242
8,train,3.688077367321131,0.8980483256171577
8,val,1.1843124016956137,0.9164353542731921
9,train,3.5575713967326066,0.9009930145434915
9,val,1.180626109884637,0.9192111029948867
10,train,3.4497409000041324,0.9043957661916993
10,val,1.1781474642896408,0.9206720233747261
11,train,3.3496646735385287,0.9077985178399071
11,val,1.1770015176671365,0.920964207450694
12,train,3.2649435603616865,0.9104160191077593
12,val,1.1743866216187238,0.9218407596785975
13,train,3.180990852772081,0.9129026453122189
13,val,1.1774868065811057,0.9206720233747261
14,train,3.113564413498379,0.9152747558362099
14,val,1.175122963589765,0.9214024835646457
15,train,3.0417292498320636,0.917237881787099
15,val,1.1735657335982173,0.9219868517165815
16,train,2.9804618307556074,0.9190210545258233
16,val,1.1731786124631383,0.9222790357925493
17,train,2.9180855890593222,0.9215894776449033
17,val,1.1728078644322688,0.9200876552227903
18,train,2.860444961627856,0.9233726503836275
18,val,1.1703231475055436,0.9231555880204528
19,train,2.805592546372992,0.9253684951003648
19,val,1.1712401617174168,0.9224251278305332
20,train,2.7481797884180166,0.927331621051254
20,val,1.1733625843892401,0.9233016800584368
21,train,2.6959351741448723,0.9291638719387505
21,val,1.1707304498241973,0.9222790357925493
22,train,2.646545469005196,0.9312415135701081
22,val,1.1727544266259784,0.9214024835646457
23,train,2.596677199961918,0.9329101706283639
23,val,1.1760192818150546,0.9203798392987582
24,train,2.5470269722233114,0.9347587808987845
24,val,1.1766400268950368,0.9212563915266618
25,train,2.4983639203733925,0.9369182194447625
25,val,1.1726003999340875,0.9231555880204528
26,train,2.4493292616821196,0.9384887202054738
26,val,1.1764012019768346,0.9219868517165815
